# Region = CEP
index  ra  dec  j  h  k  ch1  ch2  ch3  ch4  m24  uj  uh  uk  uch1  uch2  uch3  uch4  um24  ak  class
222295  344.67683  62.491524  -100.000  -100.000  -100.000  14.1952  12.7439  11.5555  10.5908  6.21839  10.0000  10.0000  10.0000  0.0174410  0.00917299  0.0424451  0.0684373  0.0419013  0.00000  1
222518  346.29361  62.457030  -100.000  -100.000  13.6600  11.0285  9.75420  8.56000  7.51041  1.68896  10.0000  10.0000  0.0520000  0.0147982  0.00660022  0.00294200  0.00266599  0.00269910  0.00000  1
223302  344.34248  62.499651  -100.000  -100.000  -100.000  13.4991  12.1420  10.7745  9.52650  -100.000  10.0000  10.0000  10.0000  0.0657228  0.0141613  0.0772270  0.127156  10.0000  0.00000  1
223369  344.33822  62.499872  -100.000  -100.000  -100.000  13.5982  12.2182  11.0161  9.97501  5.69893  10.0000  10.0000  10.0000  0.0535470  0.0128238  0.0670521  0.119519  0.245624  0.00000  1
223402  348.22405  62.392968  -100.000  -100.000  -100.000  13.2439  10.9459  9.23083  8.10433  3.68109  10.0000  10.0000  10.0000  0.00811649  0.00417411  0.00324634  0.00260689  0.00188584  0.00000  1
223970  347.67940  62.416167  -100.000  15.5980  14.0080  12.3654  11.6208  10.8098  9.72303  5.34945  10.0000  0.106000  0.0530000  0.00449242  0.00383636  0.00906111  0.0212671  0.00933752  1.12640  1
224213  347.85284  62.410320  -100.000  -100.000  -100.000  14.2918  12.7883  11.6063  10.6210  2.74224  10.0000  10.0000  10.0000  0.0117938  0.00790640  0.0157787  0.0292917  0.00282297  0.00000  1
224612  346.42025  62.459981  -100.000  -100.000  -100.000  14.2535  12.5272  11.6640  10.5858  -100.000  10.0000  10.0000  10.0000  0.0271270  0.0202435  0.0322987  0.0328166  10.0000  0.00000  1
226165  347.57034  62.426975  15.6000  13.8490  12.8800  11.4112  10.5172  9.61345  8.43652  5.30308  0.0690000  0.0410000  0.0320000  0.00288150  0.00284522  0.00431467  0.00264565  0.00406026  1.06019  1
226529  347.64096  62.425542  17.1390  15.6820  14.0880  11.3691  9.89673  8.72446  7.68552  3.83885  0.205000  0.123000  0.0540000  0.00279735  0.00247162  0.00244528  0.00153339  0.00218187  0.00000  1
228072  344.36549  62.514066  -100.000  14.9990  13.8780  12.8494  11.9214  11.1535  10.0948  -100.000  10.0000  0.0900000  0.0560000  0.0137231  0.0115872  0.0341027  0.0627683  10.0000  0.00000  1
228478  343.41921  62.524892  15.2960  12.5760  10.7390  8.70309  7.81839  7.09970  6.22300  2.68765  0.0580000  0.0270000  0.0200000  0.00208699  0.00243842  0.00142725  0.00110088  0.0125482  1.79800  1
228941  344.37148  62.516470  -100.000  -100.000  -100.000  11.8622  10.2844  8.63010  7.14126  -100.000  10.0000  10.0000  10.0000  0.00946286  0.00582074  0.00643777  0.0153202  10.0000  0.00000  1
228992  346.40991  62.473594  -100.000  -100.000  -100.000  14.9647  14.2034  13.3563  12.2736  -100.000  10.0000  10.0000  10.0000  0.0397564  0.0381618  0.0636628  0.0675518  10.0000  0.00000  1
229014  344.48694  62.515139  -100.000  -100.000  -100.000  11.9436  11.2364  10.4563  9.18685  5.90491  10.0000  10.0000  10.0000  0.00684472  0.00461623  0.0320750  0.0452927  0.116475  0.00000  1
229695  347.05069  62.455947  -100.000  -100.000  14.9720  13.5931  12.8016  11.8903  10.9801  7.66484  10.0000  10.0000  0.117000  0.00688154  0.00610216  0.0149914  0.0143440  0.0339200  0.00000  1
230166  343.42051  62.530335  -100.000  -100.000  -100.000  11.4816  9.62274  8.62469  7.82071  3.65831  10.0000  10.0000  10.0000  0.00723010  0.00366659  0.00273552  0.00309004  0.0506445  0.00000  1
